"Year","Month","City","Codigo_TCAC","Alimento","Precio_kg"
2023,12,"Barranquilla",NA,"Aceite girasol",18355
2023,12,"Barranquilla","D013","Aceite vegetal mezcla",8948
2023,12,"Barranquilla","B006","Ahuyama",1359
2023,12,"Barranquilla",NA,"Ajo importado",8689.5
2023,12,"Barranquilla","F069","Alas de pollo con costillar",8319
2023,12,"Barranquilla","B014","Apio",1617.5
2023,12,"Barranquilla","A010","Arroz de primera",3887
2023,12,"Barranquilla",NA,"Arroz de segunda",3481
2023,12,"Barranquilla",NA,"Arroz excelso",4090
2023,12,"Barranquilla",NA,"Arveja verde en vaina",9869
2023,12,"Barranquilla","A012","Avena en hojuelas",8923
2023,12,"Barranquilla","A029","Avena molida",11643.5
2023,12,"Barranquilla",NA,"Azúcar refinada",4498
2023,12,"Barranquilla","K003","Azúcar sulfitada",4047
2023,12,"Barranquilla","C010","Banano criollo",1216
2023,12,"Barranquilla",NA,"Banano Urabá",1270
2023,12,"Barranquilla","E007","Basa, entero congelado importado",10853
2023,12,"Barranquilla",NA,"Berenjena",2994
2023,12,"Barranquilla","E010","Bocachico importado congelado",10653
2023,12,"Barranquilla","B025","Brócoli",8068.5
2023,12,"Barranquilla","L005","Café instantáneo",122261.5
2023,12,"Barranquilla","L006","Café molido",34009.5
2023,12,"Barranquilla",NA,"Carne de cerdo, brazo con hueso",17167
2023,12,"Barranquilla","F008","Carne de cerdo, brazo sin hueso",19167
2023,12,"Barranquilla","F015","Carne de cerdo, costilla",17083
2023,12,"Barranquilla",NA,"Carne de cerdo, lomo con hueso",17167
2023,12,"Barranquilla","F019","Carne de cerdo, lomo sin hueso",20917
2023,12,"Barranquilla",NA,"Carne de cerdo, pernil con hueso",17167
2023,12,"Barranquilla","F118","Carne de res, bola de brazo",25912.5
2023,12,"Barranquilla","F118","Carne de res, bola de pierna",25908.5
2023,12,"Barranquilla",NA,"Carne de res, bota",25912.5
2023,12,"Barranquilla","F100","Carne de res, cadera",26850
2023,12,"Barranquilla",NA,"Carne de res, centro de pierna",25892
2023,12,"Barranquilla","F099","Carne de res, chatas",27875
2023,12,"Barranquilla","F107","Carne de res, costilla",16417
2023,12,"Barranquilla","F100","Carne de res, falda",20842
2023,12,"Barranquilla",NA,"Carne de res, lomo fino",41625
2023,12,"Barranquilla","F118","Carne de res, muchacho",26412.5
2023,12,"Barranquilla","F100","Carne de res, punta de anca",26842
2023,12,"Barranquilla","F098","Carne de res, sobrebarriga",22362.5
2023,12,"Barranquilla",NA,"Cebolla cabezona blanca",2203
2023,12,"Barranquilla",NA,"Cebolla cabezona roja peruana",2339
2023,12,"Barranquilla",NA,"Cebolla junca Berlín",2461
2023,12,"Barranquilla",NA,"Cebollín chino",5455
2023,12,"Barranquilla",NA,"Chocolate dulce",21070.5
2023,12,"Barranquilla",NA,"Cilantro",6442
2023,12,"Barranquilla","C019","Coco",5100
2023,12,"Barranquilla",NA,"Coles",4376
2023,12,"Barranquilla","B039","Coliflor",7904.5
2023,12,"Barranquilla",NA,"Color (bolsita)",18960
2023,12,"Barranquilla","C021","Curuba",2458
2023,12,"Barranquilla","B044","Espinaca",8210
2023,12,"Barranquilla",NA,"Fécula de maíz",23671
2023,12,"Barranquilla",NA,"Fríjol cabeza negra importado",7092
2023,12,"Barranquilla",NA,"Fríjol cabeza negra nacional",6688
2023,12,"Barranquilla",NA,"Fríjol palomito importado",7356.5
2023,12,"Barranquilla",NA,"Fríjol verde en vaina",8835
2023,12,"Barranquilla",NA,"Fríjol Zaragoza",7844
2023,12,"Barranquilla",NA,"Galletas dulces redondas con crema",18646
2023,12,"Barranquilla","A027","Galletas saladas",12470.5
2023,12,"Barranquilla","K018","Gelatina",38352.5
2023,12,"Barranquilla",NA,"Guayaba Atlántico",2075
2023,12,"Barranquilla",NA,"Guayaba común",2619
2023,12,"Barranquilla","C032","Guayaba pera",4060.5
2023,12,"Barranquilla","B052","Habichuela",3445
2023,12,"Barranquilla",NA,"Habichuela larga",4733
2023,12,"Barranquilla","A040","Harina de trigo",2907
2023,12,"Barranquilla","A034","Harina precocida de maíz",3358
2023,12,"Barranquilla",NA,"Jugo de frutas",8938
2023,12,"Barranquilla","K018","Jugo instantáneo (sobre)",33685
2023,12,"Barranquilla","G008","Leche en polvo",50636
2023,12,"Barranquilla","B059","Lechuga Batavia",2952.5
2023,12,"Barranquilla","T026","Lenteja importada",6668.5
2023,12,"Barranquilla",NA,"Limón común Ciénaga",6384
2023,12,"Barranquilla","C044","Limón Tahití",2045
2023,12,"Barranquilla","E003","Lomitos de atún en lata",38859
2023,12,"Barranquilla","C045","Lulo",4600
2023,12,"Barranquilla","A044","Maíz amarillo trillado",2017.5
2023,12,"Barranquilla","A046","Maíz blanco trillado",2180.5
2023,12,"Barranquilla",NA,"Mandarina común",2306
2023,12,"Barranquilla",NA,"Mango de azúcar",3872
2023,12,"Barranquilla","C052","Mango Tommy",3404
2023,12,"Barranquilla","C056","Maracuyá",2550
2023,12,"Barranquilla",NA,"Maracuyá valluno",2536
2023,12,"Barranquilla","D018","Margarina",17895
2023,12,"Barranquilla","D020","Mayonesa doy pack",16181.5
2023,12,"Barranquilla",NA,"Mojarra lora entera congelada",17067
2023,12,"Barranquilla",NA,"Mojarra lora entera fresca",13667
2023,12,"Barranquilla","C061","Mora de Castilla",5734
2023,12,"Barranquilla",NA,"Mostaza doy pack",13925
2023,12,"Barranquilla",NA,"Panela cuadrada blanca",3992
2023,12,"Barranquilla","B071","Papa criolla limpia",3847.5
2023,12,"Barranquilla","B074","Papa única",1549
2023,12,"Barranquilla","A072","Pastas alimenticias",6960
2023,12,"Barranquilla","F085","Pechuga de pollo",11460.5
2023,12,"Barranquilla","B077","Pepino cohombro",964
2023,12,"Barranquilla",NA,"Perejil",10788
2023,12,"Barranquilla","F091","Pierna pernil con rabadilla",6762.5
2023,12,"Barranquilla","B080","Pimentón",3494.5
2023,12,"Barranquilla",NA,"Piña perolera",3810
2023,12,"Barranquilla","B092","Plátano hartón verde",2373
2023,12,"Barranquilla","F077","Pollo entero congelado sin vísceras",8748
2023,12,"Barranquilla","G018","Queso costeño",18750
2023,12,"Barranquilla",NA,"Rábano rojo",6952
2023,12,"Barranquilla",NA,"Remolacha",1596
2023,12,"Barranquilla","B099","Repollo blanco",2134.5
2023,12,"Barranquilla","L015","Sal yodada",1983.5
2023,12,"Barranquilla","L017","Salsa de tomate doy pack",16279
2023,12,"Barranquilla","E039","Sardinas en lata",14893
2023,12,"Barranquilla","E043","Tilapia roja entera congelada",18733
2023,12,"Barranquilla",NA,"Tilapia roja entera fresca",15733
2023,12,"Barranquilla","B103","Tomate chonto",3592
2023,12,"Barranquilla","C082","Tomate de árbol",1844.5
2023,12,"Barranquilla",NA,"Tomate Riogrande bumangués",4009.5
2023,12,"Barranquilla",NA,"Vinagre",1936
2023,12,"Barranquilla",NA,"Yuca criolla",1326
2023,12,"Barranquilla","B110","Zanahoria",1880
2023,12,"Bogotá",NA,"Aceite girasol",16629.5
2023,12,"Bogotá",NA,"Aceite soya",8329.75
2023,12,"Bogotá","D013","Aceite vegetal mezcla",3217
2023,12,"Bogotá",NA,"Acelga",744
2023,12,"Bogotá",NA,"Aguacate Hass",7011
2023,12,"Bogotá","C002","Aguacate papelillo",10392
2023,12,"Bogotá","B006","Ahuyama",2229
2023,12,"Bogotá",NA,"Ahuyamín (Sakata)",1894
2023,12,"Bogotá",NA,"Ajo",12874
