city,tcac_code,sipsa_name,exito_name
Barranquilla,N/A,Aceite girasol,Aceite girasol
Barranquilla,D013,Aceite vegetal mezcla,Aceite vegetal mezcla
Barranquilla,B006,Ahuyama,Ahuyama
Barranquilla,N/A,Ajo importado,Ajo importado
Barranquilla,F069,Alas de pollo con costillar,Alas de pollo con costillar
Barranquilla,B014,Apio,Apio
Barranquilla,A010,Arroz de primera,Arroz de primera
Barranquilla,N/A,Arroz de segunda,Arroz de segunda
Barranquilla,N/A,Arroz excelso,Arroz excelso
Barranquilla,N/A,Arveja verde en vaina,Arveja verde en vaina
Barranquilla,A012,Avena en hojuelas,Avena en hojuelas
Barranquilla,A029,Avena molida,Avena molida
Barranquilla,N/A,Azúcar refinada,Azúcar refinada
Barranquilla,K003,Azúcar sulfitada,Azúcar sulfitada
Barranquilla,C010,Banano criollo,Banano criollo
Barranquilla,N/A,Banano Urabá,Banano Urabá
Barranquilla,E007,"Basa, entero congelado importado",Basa
Barranquilla,N/A,Berenjena,Berenjena
Barranquilla,E010,Bocachico importado congelado,Bocachico
Barranquilla,B025,Brócoli,Brócoli
Barranquilla,L005,Café instantáneo,Café instantáneo
Barranquilla,L006,Café molido,Café molido
Barranquilla,N/A,"Carne de cerdo, brazo con hueso",Cerdo brazo
Barranquilla,F008,"Carne de cerdo, brazo sin hueso",Brazo cerdo
Barranquilla,F015,"Carne de cerdo, costilla",Costila cerdo
Barranquilla,N/A,"Carne de cerdo, lomo con hueso",Cerdo lomo
Barranquilla,F019,"Carne de cerdo, lomo sin hueso",Lomo cerdo
Barranquilla,N/A,"Carne de cerdo, pernil con hueso",Cerdo pernil
Barranquilla,F118,"Carne de res, bola de brazo",Bola brazo res
Barranquilla,F118,"Carne de res, bola de pierna",Bola pierna res
Barranquilla,N/A,"Carne de res, bota",Res bota
Barranquilla,F100,"Carne de res, cadera",Cadera res
Barranquilla,N/A,"Carne de res, centro de pierna",Res pierna
Barranquilla,F099,"Carne de res, chatas",Chatas res
Barranquilla,F107,"Carne de res, costilla",Costilla res
Barranquilla,F100,"Carne de res, falda",Falda res
Barranquilla,N/A,"Carne de res, lomo fino",Res lomo
Barranquilla,F118,"Carne de res, muchacho",Muchacho res
Barranquilla,F100,"Carne de res, punta de anca",Punta de anca res
Barranquilla,F098,"Carne de res, sobrebarriga",Sobrebarriga res
Barranquilla,N/A,Cebolla cabezona blanca,Cebolla cabezona blanca
Barranquilla,N/A,Cebolla cabezona roja peruana,Cebolla cabezona roja
Barranquilla,N/A,Cebolla junca Berlín,Cebolla junca
Barranquilla,N/A,Cebollín chino,Cebollín
Barranquilla,N/A,Chocolate dulce,Chocolate dulce
Barranquilla,N/A,Cilantro,Cilantro
Barranquilla,C019,Coco,Coco
Barranquilla,N/A,Coles,Coles
Barranquilla,B039,Coliflor,Coliflor
Barranquilla,N/A,Color (bolsita),Color
Barranquilla,C021,Curuba,Curuba
Barranquilla,B044,Espinaca,Espinaca
Barranquilla,N/A,Fécula de maíz,Fécula de maíz
Barranquilla,N/A,Fríjol cabeza negra importado,Fríjol cabeza negra
Barranquilla,N/A,Fríjol cabeza negra nacional,Fríjol cabeza negra
Barranquilla,N/A,Fríjol palomito importado,Fríjol palomito
